Algoritmo,Execucao,F1_Score,Accuracy,Media_F1,Desvio_F1
perceptron,1,0.3868381960734357,0.47698617511520736,0.38491317898795413,0.0198840734652289
perceptron,2,0.40226759528895856,0.5106451612903226,0.38491317898795413,0.0198840734652289
perceptron,3,0.3519199210375213,0.46487557603686636,0.38491317898795413,0.0198840734652289
perceptron,4,0.3986270035519011,0.4747281105990783,0.38491317898795413,0.0198840734652289
svm,1,0.21724736629909044,0.46414746543778806,0.2106029030970662,0.005958181754804355
svm,2,0.20191847708983257,0.45695852534562215,0.2106029030970662,0.005958181754804355
svm,3,0.2084329903907979,0.46562211981566815,0.2106029030970662,0.005958181754804355
svm,4,0.21481277860854386,0.46838709677419355,0.2106029030970662,0.005958181754804355
bayes,1,0.44183270606840397,0.49714285714285716,0.4625164894430139,0.012701544455638984
bayes,2,0.4710908911751018,0.5035944700460829,0.4625164894430139,0.012701544455638984
bayes,3,0.4745150470444588,0.5229493087557604,0.4625164894430139,0.012701544455638984
bayes,4,0.46262731348409103,0.4999078341013825,0.4625164894430139,0.012701544455638984
trees,1,0.7340616320109116,0.784516129032258,0.768199474345561,0.04177330986968031
trees,2,0.8310038805353424,0.8668479262672809,0.768199474345561,0.04177330986968031
trees,3,0.78087883771725,0.8019262672811059,0.768199474345561,0.04177330986968031
trees,4,0.7268535471187402,0.7652350230414746,0.768199474345561,0.04177330986968031
knn,1,0.3431848458446924,0.4949308755760368,0.3785365184968418,0.03976162657291729
knn,2,0.3481272615326324,0.5164976958525346,0.3785365184968418,0.03976162657291729
knn,3,0.4429386757601591,0.5666359447004607,0.3785365184968418,0.03976162657291729
knn,4,0.37989529084988327,0.5458064516129031,0.3785365184968418,0.03976162657291729
